City,Hotel_Name,Price_DZD,Rating_Out_of_10,Reviews_Count,Latitude,Longitude,Facilities,URL
Algiers,Hotel Best Night 2,74250.0,8.5,509,36.72731200,3.22043300,Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Restaurant | Very Good Breakfast | Tea/Coffee Maker in All Rooms | Airport shuttle (free) | Free parking | Room service,https://www.booking.com/hotel/dz/best-night-2.html
Algiers,Hôtel Sidi Yahia,103700.0,8.0,582,36.73941157,3.03689297,Parking | Family rooms | Good Breakfast | Non-smoking rooms | Free Wifi | 24-hour front desk | Facilities for disabled guests | Restaurant | Room service,https://www.booking.com/hotel/dz/sidi-yahia.html
Algiers,SuperF2Scala,57000.0,8.8,24,36.77468271,3.04297346,Non-smoking rooms | Free Wifi | Family rooms,https://www.booking.com/hotel/dz/superf2scala.html
Algiers,AZ Hôtels Kouba,91920.0,7.9,263,36.73673707,3.08770420,Family rooms | Good Breakfast | Non-smoking rooms | Free Wifi | 24-hour front desk | Facilities for disabled guests | Airport shuttle | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/az-kouba.html
Algiers,Hotel Ain benian,67500.0,7.3,198,36.80701668,2.94317307,Family rooms | Outdoor swimming pool | Good Breakfast | Non-smoking rooms | Free Wifi | Facilities for disabled guests | Tea/Coffee Maker in All Rooms | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/ain-benian-alger1.html
Algiers,Holiday Inn Algiers - Cheraga Tower by IHG,83725.0,7.5,587,36.75619600,2.95014000,Spa | Good Breakfast | 2 swimming pools | Non-smoking rooms | Free Wifi | Facilities for disabled guests | Bar | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/holiday-inn-algiers-cheraga-tower.html
Algiers,Mercure Alger Palais Des Congres,85500.0,8.4,212,36.80047000,2.91732000,Spa | Family rooms | Outdoor swimming pool | Non-smoking rooms | Facilities for disabled guests | Very Good Breakfast | Bar | Tea/Coffee Maker in All Rooms | Private Parking | Fitness center,https://www.booking.com/hotel/dz/mercure-alger-palais-des-congres.html
Algiers,El Ghanami Hotel,65500.0,7.2,149,36.75924254,3.05549238,Spa | Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Breakfast | Restaurant | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/el-ghanami.html
Algiers,Hotel El Biar,37450.0,5.7,52,36.76381188,3.02309418,Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Breakfast | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/el-biar.html
Algiers,Hotel Rais,72500.0,7.2,71,36.80966139,3.25566842,Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Breakfast | Swimming pool | Free parking | Room service,https://www.booking.com/hotel/dz/rais-el-marsa.html
Algiers,SAMIR HOTEL,42000.0,8.6,12,36.76555726,3.05027769,Non-smoking rooms | Free Wifi | Breakfast | 24-hour front desk,https://www.booking.com/hotel/dz/samir-algiers.html
Algiers,AD HOTEL HYDRA,120500.0,7.8,535,36.75064008,3.02293365,Spa | Family rooms | Tea/Coffee Maker in All Rooms | Non-smoking rooms | Breakfast | Airport shuttle | Bar | Indoor swimming pool | Free parking | Fitness center,https://www.booking.com/hotel/dz/ad-hydra.html
Algiers,Algiers Marriott Hotel Bab Ezzouar,178500.0,7.1,102,36.71200800,3.19306400,Spa | Outdoor swimming pool | Non-smoking rooms | 24-hour front desk | Wifi | 3 restaurants | Bar | Private Parking | Fitness center | Room service,https://www.booking.com/hotel/dz/algiers-marriott-bab-ezzouar.html
Algiers,City Hotel Alger,41572.0,8.0,187,36.75909293,3.06148946,Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Beachfront | Room service,https://www.booking.com/hotel/dz/city.html
Algiers,Numidien Hotel,55000.0,6.4,491,36.72297285,3.23835332,2 restaurants | Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Breakfast | Facilities for disabled guests | Airport shuttle (free) | Free parking | Room service,https://www.booking.com/hotel/dz/numidien.html
